date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tlt_adj_close,tlt_volume
2018-01-18,11474.900390625,15020399616.0,1036.280029296875,5938319872.0,2798.030029296875,3703300000,125.8189468383789,2705800,85.53585052490234,2896500,98.04908752441406,10843900
2018-01-19,11607.400390625,10740400128.0,1039.0999755859375,4084450048.0,2810.300048828125,3724230000,126.46923065185547,2119000,85.35440063476562,2933800,97.53388214111328,11374300
2018-01-22,10931.400390625,10537400320.0,1003.260009765625,3810099968.0,2832.969970703125,3489480000,127.47100830078125,2849900,85.32281494140625,3983200,97.62897491455078,8984700
2018-01-23,10868.400390625,9660609536.0,986.22900390625,3556699904.0,2839.1298828125,3541140000,127.78729248046875,2261300,85.52796936035156,4775600,98.04908752441406,12325700
2018-01-24,11359.400390625,9940989952.0,1058.780029296875,3944039936.0,2837.5400390625,4079270000,127.6643295288086,3409300,85.44117736816406,2362300,97.51802062988281,9038900
2018-01-25,11259.400390625,8873169920.0,1056.030029296875,4050190080.0,2839.25,3873100000,127.71703338623047,4234600,85.6620864868164,9851600,98.31851959228516,12173300
2018-01-26,11171.400390625,9746199552.0,1055.1700439453125,3617690112.0,2872.8701171875,3474680000,129.05271911621094,1995900,85.50425720214844,3808000,97.95392608642578,6462900
2018-01-29,11296.400390625,7107359744.0,1182.3599853515625,3715079936.0,2853.530029296875,3587420000,128.2091064453125,2688200,85.35440063476562,3974900,97.27230072021484,12223000
2018-01-30,10106.2998046875,8637859840.0,1071.1300048828125,4107859968.0,2822.429931640625,4012070000,126.8734130859375,4898200,85.2202377319336,3659500,96.70169067382812,12064400
2018-01-31,10221.099609375,8041160192.0,1118.31005859375,3757560064.0,2823.81005859375,4276270000,126.91736602783203,4670200,85.291259765625,8066500,97.27230072021484,18045100
2018-02-01,9170.5400390625,9959400448.0,1036.7900390625,5261680128.0,2821.97998046875,3977380000,126.86461639404297,2924800,85.02397155761719,9678700,95.8625717163086,18632800
2018-02-02,8830.75,12726899712.0,915.7849731445312,6713290240.0,2762.1298828125,4340220000,124.16691589355469,5323600,84.77088928222656,4779300,94.97307586669922,23944400
2018-02-05,6955.27001953125,9285289984.0,697.9509887695312,4269530112.0,2648.93994140625,5310840000,119.28108215332031,10357400,85.11097717285156,5991700,95.87053680419922,28606200
2018-02-06,7754.0,13999800320.0,793.1220092773438,6518269952.0,2695.139892578125,5917350000,121.23189544677734,10791200,84.86578369140625,6031400,95.27483367919922,10935400
2018-02-07,7621.2998046875,9169280000.0,757.0679931640625,3896179968.0,2681.659912109375,4646300000,120.69583892822266,6176300,84.676025390625,4115600,94.36949157714844,16271100
2018-02-08,8265.58984375,9346750464.0,817.8070068359375,3708189952.0,2581.0,5333840000,116.35482788085938,7683300,84.53366088867188,4761600,94.2662124633789,15155100
2018-02-09,8736.98046875,6784820224.0,883.864990234375,2495820032.0,2619.550048828125,5690110000,117.95417785644531,9474000,84.4229736328125,5926100,93.67053985595703,15661600
2018-02-12,8926.5703125,6256439808.0,868.7069702148438,2243450112.0,2656.0,4069220000,119.5271224975586,4251900,84.44671630859375,5421400,94.08355712890625,10944600
